Period,Impulse_Response,Cumulative_Response
0,-0.0009897118878253492,-0.0009897118878253492
1,-0.00015668867808769481,-0.001146400565913044
2,0.001412780905355162,0.00026638033944211795
3,0.0025474934759585725,0.0028138738154006903
4,0.0010409551027515907,0.003854828918152281
5,0.0013162398795996577,0.005171068797751938
6,-0.0007137061898917054,0.004457362607860233
7,0.0005228119400050176,0.00498017454786525
8,0.001344127502957655,0.006324302050822905
9,0.003926853471840336,0.01025115552266324
10,0.005637532839699363,0.015888688362362603
11,0.004076364709317355,0.019965053071679957
12,0.00012562614006357423,0.020090679211743533
13,-0.0024004359812265503,0.017690243230516982
14,-0.0036231103055124627,0.014067132925004519
15,-0.0038255375152298574,0.010241595409774661
16,-0.0033487368727193453,0.006892858537055316
17,-0.0025164931208604144,0.004376365416194902
18,-0.0015904343474797437,0.002785931068715158
19,-0.0007513685926860806,0.0020345624760290774
20,-0.00010023054157666479,0.0019343319344524127
21,0.00032868171326337137,0.002263013647715784
22,0.0005487676874558958,0.00281178133517168
23,0.0006015644708647076,0.0034133458060363877
